id;first_name;last_name;email;phone_number;join_date
1;Chelsey;Wyman;Kiana.Bosco@hotmail.com;wireless mint green;2020-04-27T03:09:56
2;Lexus;Kuphal;Vaughn24@gmail.com;firmware index mission-critical;2020-04-26T22:53:49
3;Afton;Cassin;Theodore52@yahoo.com;generate Hong Kong alarm;2020-04-27T17:18:56
4;Quinn;McGlynn;Hyman26@hotmail.com;full-range;2020-04-26T23:48:02
5;Marisa;Schinner;Cierra78@hotmail.com;Implementation JBOD;2020-04-27T08:03:57
6;Augustus;Ferry;Rowland9@hotmail.com;bypass Awesome Steel Tuna Spurs;2020-04-27T02:37:57
7;Waino;Grant;Emmy80@hotmail.com;quantifying Handmade;2020-04-26T23:15:10
8;Cristian;Kirlin;August3@gmail.com;Yuan Renminbi Algerian Dinar;2020-04-27T03:38:39
9;Tomas;Russel;Dewayne_Osinski41@hotmail.com;Electronics;2020-04-26T19:55:54
10;Chris;Schaden;Litzy_Smith@yahoo.com;Tuna;2020-04-26T21:06:41
